,pair,residuals,beta
97,"('APO', 'MSI')","0      -25.528128
1      -22.226888
2      -21.550840
3      -21.737055
4      -20.841986
          ...    
2511   -75.211583
2512   -59.631406
2513   -48.172018
2514   -47.913954
2515   -47.845027
Length: 2516, dtype: float64","const    36.829081
APO       2.968958
dtype: float64"
98,"('APO', 'ORCL')","0        1.342429
1        1.917609
2        2.521921
3        1.825117
4        2.176358
          ...    
2511   -16.721406
2512   -14.445909
2513   -10.772041
2514   -10.060109
2515    -8.942810
Length: 2516, dtype: float64","const    21.316712
APO       0.967743
dtype: float64"
99,"('APO', 'PGR')","0      -14.405361
1      -14.078841
2      -13.820264
3      -13.916692
4      -13.789123
          ...    
2511   -39.981670
2512   -31.297276
2513   -24.935951
2514   -29.015204
2515   -25.830023
Length: 2516, dtype: float64","const    11.595833
APO       1.607357
dtype: float64"
100,"('APO', 'PH')","0       -9.404510
1       -8.282851
2       -7.471074
3       -8.924017
4       -8.119191
          ...    
2511   -37.611123
2512   -33.256852
2513   -20.978913
2514   -34.607957
2515   -32.490676
Length: 2516, dtype: float64","const    52.137355
APO       4.050320
dtype: float64"
101,"('APTV', 'ZBH')","0      -0.924262
1      -2.177105
2      -0.550085
3      -0.488247
4       0.585041
          ...   
2511    3.795949
2512    3.171399
2513    2.523625
2514    3.025581
2515   -2.166782
Length: 2516, dtype: float64","const    80.735797
APTV      0.399684
dtype: float64"
102,"('ARE', 'ZBH')","0       4.602396
1       3.344548
2       5.297333
3       5.129352
4       5.896902
          ...   
2511   -0.451815
2512   -0.779308
2513   -1.099895
2514   -1.563576
2515   -5.636854
Length: 2516, dtype: float64","const    75.050752
ARE       0.358306
dtype: float64"
103,"('AVGO', 'PPL')","0      -2.364340
1      -2.691642
2      -2.324795
3      -2.663244
4      -2.598378
          ...   
2511    1.330063
2512    1.692351
2513    1.290164
2514    1.188476
2515    1.419519
Length: 2516, dtype: float64","const    22.751255
AVGO      0.043018
dtype: float64"
104,"('AVGO', 'UHS')","0      -11.817266
1      -12.851018
2      -10.853182
3      -10.837196
4      -12.857099
          ...    
2511   -23.459890
2512   -19.659000
2513   -19.920848
2514   -23.753809
2515   -28.312455
Length: 2516, dtype: float64","const    108.830779
AVGO       0.466349
dtype: float64"
105,"('AVY', 'LH')","0        2.790642
1        1.807415
2        2.362657
3        3.563194
4        3.340889
          ...    
2511    40.216646
2512    40.239602
2513    39.640952
2514    41.310095
2515    40.780029
Length: 2516, dtype: float64","const    57.039301
AVY       0.821322
dtype: float64"
106,"('AXON', 'SW')","2368    2.020703
2369    0.771460
2370    1.918854
2371    3.010569
2372    5.144936
          ...   
2511   -1.260264
2512   -1.012842
2513   -0.830631
2514   -0.682824
2515   -0.395115
Length: 148, dtype: float64","const    34.270313
AXON      0.030789
dtype: float64"
107,"('AXP', 'MSI')","0      -29.525679
1      -26.838560
2      -27.811728
3      -27.781564
4      -17.919643
          ...    
2511   -56.824114
2512   -51.038176
2513   -51.760597
2514   -50.631307
2515   -47.877487
Length: 2516, dtype: float64","const   -48.758417
AXP       1.810781
dtype: float64"
108,"('AXP', 'PEG')","0       -8.287453
1       -8.506294
2       -8.202652
3       -8.841658
4       -7.938416
          ...    
2511   -10.535053
2512   -10.389171
2513   -10.294912
2514   -10.697778
2515   -10.596679
Length: 2516, dtype: float64","const    19.585057
AXP       0.234651
dtype: float64"
109,"('AXP', 'TRV')","0      -13.832462
1      -14.955208
2      -14.877142
3      -13.982749
4      -10.421497
          ...    
2511   -25.042401
2512   -24.978139
2513   -25.027957
2514   -26.039189
2515   -24.576449
Length: 2516, dtype: float64","const    47.924818
AXP       0.700260
dtype: float64"
110,"('AZO', 'PARA')","0       0.057336
1       0.098751
2       0.347544
3       0.200036
4       0.988277
          ...   
2511    4.825374
2512    5.878314
2513    6.461520
2514    6.602772
2515    6.074254
Length: 2516, dtype: float64","const    55.208257
AZO      -0.014672
dtype: float64"
111,"('BAC', 'PNC')","0      -0.405981
1      -0.641230
2      -0.358790
3      -0.467968
4      -0.158952
          ...   
2511    5.123107
2512    2.166313
2513    1.544069
2514   -0.115726
2515   -0.370900
Length: 2516, dtype: float64","const    14.123383
BAC       3.924482
dtype: float64"
112,"('BAC', 'SW')","2368   -0.171804
2369   -2.583532
2370   -2.012960
2371   -1.077846
2372    1.388773
          ...   
2511   -0.801263
2512   -0.252816
2513   -0.580856
2514   -0.417286
2515   -1.157138
Length: 148, dtype: float64","const   -7.043038
BAC      1.316076
dtype: float64"
113,"('BAC', 'WAT')","0      -13.155499
1      -13.561558
2      -13.078545
3      -12.616821
4      -14.240561
          ...    
2511    18.626605
2512    15.060264
2513    10.249886
2514    10.723580
2515     3.637480
Length: 2516, dtype: float64","const    24.567155
BAC       8.040740
dtype: float64"
114,"('BALL', 'ZBH')","0       2.147813
1       0.910722
2       2.612178
3       2.320105
4       2.982532
          ...   
2511   -7.043035
2512   -8.350728
2513   -6.347910
2514   -5.497956
2515   -9.759897
Length: 2516, dtype: float64","const    82.249863
BALL      0.615317
dtype: float64"
115,"('BBY', 'TTWO')","0      -18.466375
1      -18.549777
2      -20.412857
3      -21.122819
4      -22.255912
          ...    
2511    25.735203
2512    30.227559
2513    25.296541
2514    23.973062
2515    22.755531
Length: 2516, dtype: float64","const   -2.547651
BBY      1.890548
dtype: float64"
116,"('BDX', 'JKHY')","0       -2.353600
1       -0.970245
2       -0.611048
3       -0.421783
4       -0.625782
          ...    
2511     6.259525
2512     6.940923
2513    10.709120
2514     7.136280
2515    22.759373
Length: 2516, dtype: float64","const   -45.334153
BDX       0.860923
dtype: float64"
117,"('BDX', 'SYY')","0       0.636102
1       1.181073
2       0.710149
3       0.026326
4       0.273356
          ...   
2511    0.614249
2512    0.000943
2513    0.806987
2514   -0.065911
2515    5.345241
Length: 2516, dtype: float64","const   -9.561527
BDX      0.330643
dtype: float64"
118,"('BDX', 'VTRS')","0      -0.594926
1      -1.933252
2      -0.891836
3      -1.067371
4      -0.142280
          ...   
2511    0.814036
2512    0.576907
2513   -1.063884
2514   -0.245564
2515   -5.198853
Length: 2516, dtype: float64","const    81.587317
BDX      -0.287243
dtype: float64"
119,"('BG', 'LYB')","0      -17.265461
1      -16.182102
2      -16.716029
3      -17.404241
4      -11.067931
          ...    
2511     1.202923
2512     2.369602
2513     4.391389
2514     6.150028
2515     7.238288
Length: 2516, dtype: float64","const    30.021740
BG        0.584202
dtype: float64"
120,"('BIIB', 'PPL')","0       0.156188
1      -0.348423
2      -0.023639
3      -0.528581
4      -0.388252
          ...   
2511    4.501859
2512    4.659345
2513    4.464299
2514    4.874706
2515    4.892181
Length: 2516, dtype: float64","const    33.852115
BIIB     -0.033030
dtype: float64"
121,"('BK', 'VTR')","0       14.465502
1       14.273536
2       14.766813
3       14.621304
4       14.924689
          ...    
2511    -1.459585
2512    -0.241040
2513    -1.286827
2514    -0.948064
2515    -1.517702
Length: 2516, dtype: float64","const    29.534711
BK        0.376410
dtype: float64"
122,"('BKNG', 'LII')","0        2.419392
1        0.397505
2       -2.282090
3       -2.466617
4       -5.687572
          ...    
2511   -38.322534
2512   -41.295316
2513   -43.818152
2514   -40.142393
2515   -53.152533
Length: 2516, dtype: float64","const   -60.604479
BKNG      0.145929
dtype: float64"
123,"('BLDR', 'JNPR')","0      -2.466909
1      -2.683911
2      -2.713616
3      -2.581674
4      -2.308435
          ...   
2511   -0.325830
2512   -0.204648
2513    0.808807
2514    1.358758
2515    1.345230
Length: 2516, dtype: float64","const    20.211660
BLDR      0.089516
dtype: float64"
124,"('BLDR', 'LLY')","0        13.147507
1        12.612756
2        13.050342
3        12.966135
4        13.065826
           ...    
2511     80.731287
2512     98.684560
2513    112.110954
2514    133.925374
2515    168.215730
Length: 2516, dtype: float64","const    18.229050
BLDR      4.257052
dtype: float64"
125,"('BLDR', 'MCK')","0       77.540770
1       73.430104
2       77.131416
3       78.290112
4       79.030465
          ...    
2511    70.946668
2512    86.750214
2513    88.973022
2514    95.844325
2515    88.638439
Length: 2516, dtype: float64","const    112.931852
BLDR       2.456190
dtype: float64"
126,"('BLDR', 'PANW')","0       -3.164538
1       -3.245879
2       -2.738684
3       -2.198848
4       -2.060312
          ...    
2511    23.541525
2512    25.624272
2513    25.792490
2514    30.380964
2515    33.250455
Length: 2516, dtype: float64","const    18.757214
BLDR      0.849601
dtype: float64"
127,"('BR', 'ROST')","0       -6.038698
1       -5.999260
2       -6.068911
3       -6.291127
4       -6.412420
          ...    
2511    -6.071326
2512    -9.798080
2513   -10.986295
2514   -10.220980
2515   -11.598155
Length: 2516, dtype: float64","const    25.462459
BR        0.550621
dtype: float64"
128,"('BR', 'SYK')","0       -0.565166
1       -0.720439
2       -0.793043
3       -0.843398
4       -1.890619
          ...    
2511     9.166525
2512     8.357510
2513     6.634201
2514    14.100498
2515    14.564223
Length: 2516, dtype: float64","const    17.019944
BR        1.532632
dtype: float64"
129,"('BR', 'WTW')","0        1.277814
1        1.509197
2        1.132130
3        7.701194
4        7.858523
          ...    
2511    22.690861
2512    23.335887
2513    10.923131
2514    11.792183
2515    17.190061
Length: 2516, dtype: float64","const    54.815668
BR        1.058112
dtype: float64"
130,"('BRO', 'MPWR')","0        12.319526
1        12.139968
2        12.701392
3        12.096957
4        11.359226
           ...    
2511   -168.791267
2512   -184.950028
2513   -160.622510
2514   -171.914056
2515   -178.483637
Length: 2516, dtype: float64","const   -94.017205
BRO       8.613178
dtype: float64"
131,"('BRO', 'PEG')","0      -4.173424
1      -4.361212
2      -3.947581
3      -4.614002
4      -4.916089
          ...   
2511    1.860924
2512    1.312315
2513    1.041077
2514    1.180085
2515    0.503879
Length: 2516, dtype: float64","const    24.756807
BRO       0.544649
dtype: float64"
132,"('BRO', 'RSG')","0      -5.222958
1      -5.067151
2      -5.210971
3      -5.512158
4      -5.518146
          ...   
2511    5.287872
2512    7.790939
2513    5.261645
2514    5.044343
2515    4.339998
Length: 2516, dtype: float64","const    10.950008
BRO       1.919708
dtype: float64"
133,"('BRO', 'VMC')","0      -20.161394
1      -19.160328
2      -17.932187
3      -17.937622
4      -16.947553
          ...    
2511     5.645045
2512     0.904767
2513     1.078831
2514     1.287256
2515     1.193869
Length: 2516, dtype: float64","const    60.338140
BRO       1.991802
dtype: float64"
134,"('CAT', 'KLAC')","0       22.994366
1       20.090961
2       22.755997
3       23.743328
4       23.868756
          ...    
2511     4.820274
2512    29.480559
2513    37.672785
2514    54.615018
2515    40.768709
Length: 2516, dtype: float64","const   -118.759764
CAT        2.294259
dtype: float64"
135,"('CAT', 'MPWR')","0        -5.716431
1        -9.185630
2        -6.181015
3        -4.899735
4        -4.528511
           ...    
2511   -152.001084
2512   -136.796337
2513   -110.248820
2514   -105.210395
2515   -121.925592
Length: 2516, dtype: float64","const   -104.288705
CAT        2.405933
dtype: float64"
136,"('CAT', 'NVR')","0      -488.246517
1      -509.613746
2      -484.747681
3      -482.413929
4      -463.739498
           ...    
2511   -697.415448
2512   -753.789763
2513   -711.731631
2514   -640.600091
2515   -804.058694
Length: 2516, dtype: float64","const    364.438202
CAT       22.477809
dtype: float64"
137,"('CAT', 'PKG')","0      -2.236079
1      -2.983842
2      -1.635660
3      -1.247399
4       0.051341
          ...   
2511    4.928310
2512    8.312696
2513    7.479989
2514    8.683385
2515    6.675642
Length: 2516, dtype: float64","const    28.795143
CAT       0.481737
dtype: float64"
138,"('CAT', 'VMC')","0      -22.765605
1      -22.543638
2      -20.740819
3      -20.304017
4      -19.059012
          ...    
2511     6.067015
2512     8.741300
2513     9.422199
2514    13.457634
2515    10.937691
Length: 2516, dtype: float64","const    55.349382
CAT       0.572727
dtype: float64"
139,"('CB', 'IT')","0       10.731724
1       11.756961
2       12.346198
3       11.331080
4       11.795592
          ...    
2511    48.671265
2512    48.767034
2513    52.169021
2514    44.763815
2515    36.292971
Length: 2516, dtype: float64","const   -152.283117
CB         2.377673
dtype: float64"
140,"('CB', 'JNPR')","0      -0.821113
1      -0.969232
2      -0.975583
3      -0.897888
4      -0.655427
          ...   
2511   -1.236890
2512   -1.700934
2513   -0.480019
2514   -0.103971
2515   -0.263988
Length: 2516, dtype: float64","const    10.361833
CB        0.094656
dtype: float64"
141,"('CB', 'VLTO')","2179    9.574381
2180    4.705394
2181    8.819357
2182    4.998772
2183    5.794304
          ...   
2511    1.316864
2512   -1.939247
2513   -1.270033
2514   -6.728118
2515   -4.366030
Length: 337, dtype: float64","const   -35.341051
CB        0.505422
dtype: float64"
142,"('CB', 'VMC')","0      -20.204106
1      -18.630564
2      -16.995777
3      -17.327516
4      -16.418827
          ...    
2511    14.645420
2512     9.710719
2513    12.233402
2514    13.952675
2515    15.049295
Length: 2516, dtype: float64","const    1.587027
CB       0.948645
dtype: float64"
143,"('CBOE', 'MAR')","0        5.776337
1        6.269268
2        9.463755
3        8.777411
4       10.447204
          ...    
2511    29.143254
2512    22.146750
2513    22.910311
2514    25.747364
2515    34.126494
Length: 2516, dtype: float64","const   -7.333208
CBOE     1.315421
dtype: float64"
144,"('CDNS', 'LIN')","0        0.376311
1        0.164240
2       -0.044650
3       -0.976745
4       -0.531085
          ...    
2511   -11.917924
2512    -4.687477
2513    -5.829269
2514   -10.696107
2515    -4.513182
Length: 2516, dtype: float64","const    81.829620
CDNS      1.264056
dtype: float64"
145,"('CDNS', 'MLM')","0      -43.509185
1      -42.453096
2      -25.887160
3      -23.770113
4      -22.363374
          ...    
2511     3.884070
2512    -5.226335
2513    -5.771087
2514    -7.232328
2515    -4.270685
Length: 2516, dtype: float64","const    128.631251
CDNS       1.382987
dtype: float64"
146,"('CDNS', 'MPWR')","0       -6.548125
1       -7.386871
2       -5.999297
3       -6.511857
4       -6.661500
          ...    
2511   -85.485844
2512   -95.705661
2513   -71.479480
2514   -81.042077
2515   -82.228974
Length: 2516, dtype: float64","const    9.500630
CDNS     2.396866
dtype: float64"
147,"('CDNS', 'PARA')","0      -0.322755
1      -0.302468
2      -0.096079
3      -0.251226
4       0.621956
          ...   
2511    1.290989
2512    1.230760
2513    1.601629
2514    1.915042
2515    1.631076
Length: 2516, dtype: float64","const    48.880363
CDNS     -0.132019
dtype: float64"
148,"('CDNS', 'SNPS')","0        1.495199
1        1.269670
2        1.551590
3        1.136719
4        1.032907
          ...    
2511   -36.081957
2512   -42.570605
2513   -41.476518
2514   -42.452486
2515   -37.707712
Length: 2516, dtype: float64","const    10.667162
CDNS      1.851001
dtype: float64"
149,"('CDNS', 'VMC')","0      -24.322599
1      -23.474033
2      -22.055013
3      -22.039981
4      -20.914571
          ...    
2511    24.520225
2512    21.151897
2513    21.299640
2514    21.901605
2515    23.056222
Length: 2516, dtype: float64","const    84.038644
CDNS      0.556384
dtype: float64"
150,"('CDW', 'MDLZ')","0      -3.183450
1      -3.357182
2      -3.336818
3      -2.514372
4      -2.391229
          ...   
2511   -6.401721
2512   -6.846742
2513   -8.310289
2514   -8.309605
2515   -6.960020
Length: 2516, dtype: float64","const    25.991547
CDW       0.192830
dtype: float64"
151,"('CDW', 'YUM')","0       -8.339113
1       -8.857587
2       -8.417089
3       -8.307216
4       -7.986386
          ...    
2511     3.522278
2512     4.834349
2513     4.403117
2514     1.156007
2515    15.514942
Length: 2516, dtype: float64","const    38.197491
CDW       0.445818
dtype: float64"
152,"('CEG', 'OKE')","1750     1.707307
1751     0.397469
1752    -0.322357
1753     0.218568
1754     1.209556
          ...    
2511    -7.940726
2512    -7.803761
2513    -8.418034
2514    -9.131150
2515   -10.546380
Length: 766, dtype: float64","const    39.96009
CEG       0.21375
dtype: float64"
153,"('CEG', 'OXY')","1750   -25.508720
1751   -26.302379
1752   -27.459675
1753   -27.249281
1754   -24.604040
          ...    
2511    -8.525381
2512    -8.685978
2513    -7.465600
2514    -7.554124
2515    -8.197501
Length: 766, dtype: float64","const    60.834029
CEG      -0.018863
dtype: float64"
154,"('CEG', 'PYPL')","1750    91.685929
1751    91.601647
1752    81.861641
1753    80.355450
1754    76.329608
          ...    
2511    23.215749
2512    24.548784
2513    12.765053
2514    14.717582
2515    13.789262
Length: 766, dtype: float64","const    84.464189
CEG      -0.063671
dtype: float64"
155,"('CEG', 'TEL')","1750    30.744452
1751    27.463754
1752    24.507256
1753    26.357426
1754    23.329691
          ...    
2511    -9.130046
2512   -12.971249
2513   -13.264182
2514   -12.917504
2515   -11.432293
Length: 766, dtype: float64","const    112.970231
CEG        0.147109
dtype: float64"
156,"('CEG', 'UPS')","1750    7.636402
1751    6.985431
1752    6.683459
1753    8.139581
1754    5.997813
          ...   
2511   -0.947060
2512   -2.466714
2513   -1.982233
2514   -0.169347
2515    0.428974
Length: 766, dtype: float64","const    182.487812
CEG       -0.224384
dtype: float64"
157,"('CEG', 'WAB')","1750    11.761286
1751    10.224651
1752     8.702137
1753     9.977000
1754     9.101157
          ...    
2511    -3.635451
2512   -10.164844
2513    -8.725108
2514   -11.425100
2515   -10.696183
Length: 766, dtype: float64","const    57.565669
CEG       0.513333
dtype: float64"
158,"('CFG', 'NTRS')","0      -4.345264
1      -4.556246
2      -4.527420
3      -4.194865
4      -4.642736
          ...   
2511   -0.178123
2512    0.512544
2513   -0.133835
2514    0.607829
2515   -0.024499
Length: 2516, dtype: float64","const    26.815703
CFG       1.800555
dtype: float64"
159,"('CHD', 'STE')","0        3.995292
1        2.970420
2        2.123534
3        1.462106
4        1.351560
          ...    
2511   -20.190685
2512   -24.921099
2513   -22.664205
2514   -24.452537
2515   -17.667497
Length: 2516, dtype: float64","const   -39.820009
CHD       2.659787
dtype: float64"
160,"('CHD', 'UNP')","0       22.389218
1       20.652132
2       20.636548
3       21.264986
4       22.498381
          ...    
2511     2.194959
2512    -4.806486
2513    -3.223035
2514    -5.210125
2515    -2.100993
Length: 2516, dtype: float64","const   -13.154650
CHD       2.452139
dtype: float64"
161,"('CHRW', 'JNJ')","0      -15.193355
1      -16.182727
2      -16.546058
3      -16.645711
4      -18.827949
          ...    
2511    -8.858361
2512    -6.966823
2513    -6.487266
2514    -2.818899
2515    -2.478477
Length: 2516, dtype: float64","const    5.579351
CHRW     1.562258
dtype: float64"
162,"('CHRW', 'SYY')","0       -9.111461
1       -9.220321
2       -9.889623
3      -10.635262
4      -10.455815
          ...    
2511    -5.249832
2512    -4.664481
2513    -6.202254
2514    -4.843508
2515    -4.391437
Length: 2516, dtype: float64","const   -7.388130
CHRW     0.859965
dtype: float64"
163,"('CHTR', 'KMX')","0       13.609446
1       13.908353
2       14.537353
3       14.915916
4       15.298094
          ...    
2511    12.301287
2512    11.423702
2513    11.496061
2514    10.598895
2515    11.888197
Length: 2516, dtype: float64","const    28.103015
CHTR      0.130932
dtype: float64"
164,"('CHTR', 'ZBH')","0       5.482093
1       4.347674
2       6.111014
3       6.006364
4       6.988420
          ...   
2511   -2.854173
2512   -3.856607
2513   -4.117915
2514   -4.049156
2515   -8.963439
Length: 2516, dtype: float64","const    84.836372
CHTR      0.079591
dtype: float64"
165,"('CI', 'MPWR')","0        59.314106
1        60.461477
2        54.496555
3        51.014242
4        51.860965
           ...    
2511     78.660845
2512     75.355511
2513    105.885250
2514     97.878637
2515    113.704337
Length: 2516, dtype: float64","const   -329.743194
CI         3.019790
dtype: float64"
166,"('CINF', 'LYV')","0        4.962670
1        5.216666
2        5.660544
3        5.294685
4        5.072063
          ...    
2511    25.696021
2512    26.977891
2513    30.517982
2514    30.810351
2515    29.725979
Length: 2516, dtype: float64","const   -20.185285
CINF      1.015463
dtype: float64"
167,"('CL', 'LDOS')","0      -18.741625
1      -18.238764
2      -18.917958
3      -18.651424
4      -18.758185
          ...    
2511    11.867307
2512    10.598127
2513    12.336198
2514    11.342842
2515    12.300094
Length: 2516, dtype: float64","const   -103.446562
CL         2.694455
dtype: float64"
168,"('CL', 'MAS')","0       -8.951239
1       -8.600822
2       -8.884630
3       -9.066845
4       -9.208142
          ...    
2511    10.535845
2512     8.481734
2513     8.796819
2514     9.126226
2515    10.797185
Length: 2516, dtype: float64","const   -40.053727
CL        1.254878
dtype: float64"
169,"('CL', 'MPWR')","0      -19.338241
1      -16.844140
2      -20.511368
3      -20.562422
4      -25.357004
          ...    
2511     4.000280
2512   -10.499587
2513    26.501947
2514    21.932872
2515    38.891483
Length: 2516, dtype: float64","const   -919.313849
CL        17.908692
dtype: float64"
170,"('CL', 'NXPI')","0       -8.359027
1       -8.772340
2       -9.138477
3       -7.513148
4       -7.422303
          ...    
2511   -12.251901
2512   -17.498553
2513   -17.537296
2514    -7.216073
2515    -0.061848
Length: 2516, dtype: float64","const   -154.014289
CL         4.323140
dtype: float64"
171,"('CL', 'VMC')","0      -28.245382
1      -26.637505
2      -26.368780
3      -26.244748
4      -26.173869
          ...    
2511    46.845902
2512    42.510040
2513    45.581579
2514    47.352141
2515    52.622781
Length: 2516, dtype: float64","const   -126.291247
CL         4.078378
dtype: float64"
172,"('CMCSA', 'ZBH')","0       8.948923
1       7.600636
2       9.453140
3       9.058715
4       9.786814
          ...   
2511   -3.373018
2512   -3.926291
2513   -4.873571
2514   -5.059791
2515   -9.885091
Length: 2516, dtype: float64","const    57.942504
CMCSA     1.631329
dtype: float64"
173,"('CMG', 'KLAC')","0      -66.498241
1      -63.800886
2      -66.816206
3      -67.864215
4      -67.691961
          ...    
2511    47.460923
2512    49.303982
2513    50.035568
2514    79.034379
2515    84.969695
Length: 2516, dtype: float64","const   -49.947752
CMG      12.694547
dtype: float64"
174,"('CMG', 'LEN')","0       -7.757518
1       -6.862410
2       -6.795174
3       -7.183095
4       -6.259069
          ...    
2511   -18.569377
2512   -23.641549
2513   -23.004390
2514   -20.457599
2515   -20.342602
Length: 2516, dtype: float64","const    20.481764
CMG       2.216412
dtype: float64"
175,"('CMG', 'MPWR')","0       -98.171361
1       -95.734834
2       -98.733295
3       -99.598945
4       -99.180382
           ...    
2511   -112.022489
2512   -120.746966
2513   -102.112865
2514    -84.225951
2515    -80.105658
Length: 2516, dtype: float64","const   -35.313294
CMG      13.448257
dtype: float64"
176,"('CMI', 'MAS')","0       -8.769255
1       -8.401873
2       -8.412204
3       -8.591513
4       -8.609149
          ...    
2511    -5.687331
2512    -5.540165
2513    -9.291113
2514   -10.233733
2515    -9.435767
Length: 2516, dtype: float64","const    5.778648
CMI      0.222284
dtype: float64"
177,"('CMI', 'TMUS')","0      -18.336707
1      -17.777344
2      -17.862604
3      -17.987879
4      -18.476042
          ...    
2511     3.703863
2512    14.549572
2513     2.822665
2514     3.452853
2515     9.497136
Length: 2516, dtype: float64","const   -23.994743
CMI       0.710908
dtype: float64"
178,"('CMI', 'WTW')","0      -21.715864
1      -20.984414
2      -20.940881
3      -14.495920
4      -14.284442
          ...    
2511     1.946700
2512     9.526006
2513   -13.164022
2514   -17.981666
2515   -11.616251
Length: 2516, dtype: float64","const    40.527787
CMI       0.805882
dtype: float64"
179,"('CMS', 'JKHY')","0      -12.393721
1      -12.008645
2      -12.897279
3      -11.272591
4      -10.544507
          ...    
2511   -13.464437
2512   -14.224110
2513   -14.018057
2514   -18.156994
2515   -18.890866
Length: 2516, dtype: float64","const   -11.774424
CMS       3.020134
dtype: float64"
180,"('CMS', 'KMB')","0      -3.949488
1      -4.243653
2      -4.307619
3      -3.657234
4      -2.988403
          ...   
2511   -1.791877
2512   -1.916876
2513   -2.688747
2514   -3.923527
2515   -5.469148
Length: 2516, dtype: float64","const    48.575679
CMS       1.260397
dtype: float64"
181,"('CMS', 'LHX')","0       -3.017366
1       -2.424144
2       -4.766644
3       -2.301018
4       -1.573135
          ...    
2511   -24.011215
2512   -25.321880
2513   -26.091450
2514   -31.906081
2515   -38.996822
Length: 2516, dtype: float64","const   -50.068830
CMS       4.334698
dtype: float64"
182,"('COO', 'TER')","0       5.689594
1       6.802659
2       5.939946
3       5.745640
4       5.345521
          ...   
2511    4.708681
2512    2.138079
2513    2.788462
2514    1.317510
2515    4.618380
Length: 2516, dtype: float64","const   -58.829960
COO       1.759827
dtype: float64"
183,"('COO', 'WDAY')","0       13.969714
1       15.418345
2       13.227079
3       15.913293
4       17.439399
          ...    
2511    24.831410
2512    26.081972
2513    26.159017
2514    38.590311
2515    46.372055
Length: 2516, dtype: float64","const   -45.283959
COO       2.926075
dtype: float64"
184,"('COP', 'NUE')","0      -22.851675
1      -23.416454
2      -23.756833
3      -23.715007
4      -24.196285
          ...    
2511    -7.275559
2512    -3.878752
2513    -7.519539
2514    -4.562639
2515    -3.820484
Length: 2516, dtype: float64","const   -13.047433
COP       1.505140
dtype: float64"
185,"('COP', 'WBD')","0       3.710911
1       3.908537
2       4.720948
3       4.463341
4       4.357358
          ...   
2511   -4.738709
2512   -5.095996
2513   -4.732268
2514   -4.683974
2515   -4.988818
Length: 2516, dtype: float64","const    37.002643
COP      -0.220823
dtype: float64"
186,"('COR', 'JNPR')","0      -3.423952
1      -3.522296
2      -3.655602
3      -3.671693
4      -3.503039
          ...   
2511   -2.957371
2512   -3.248126
2513   -1.918304
2514   -1.649630
2515   -1.281119
Length: 2516, dtype: float64","const    13.834413
COR       0.094343
dtype: float64"
187,"('COR', 'LLY')","0      -34.937212
1      -29.928068
2      -34.327004
3      -41.328754
4      -46.110154
          ...    
2511   -33.762238
2512   -35.382195
2513    -7.132310
2514     1.438206
2515    53.396702
Length: 2516, dtype: float64","const   -275.986976
COR        4.409068
dtype: float64"
188,"('COR', 'PANW')","0      -12.731539
1      -11.705322
2      -12.164412
3      -13.006549
4      -13.843219
          ...    
2511     0.569229
2512    -1.254546
2513     1.874615
2514     3.818416
2515    10.219766
Length: 2516, dtype: float64","const   -40.064951
COR       0.880830
dtype: float64"
189,"('COR', 'PWR')","0      -10.612742
1       -8.845731
2      -10.783963
3      -13.280395
4      -14.792497
          ...    
2511     6.356074
2512     0.227782
2513     2.786123
2514    -1.073663
2515    17.288214
Length: 2516, dtype: float64","const   -89.692589
COR       1.537888
dtype: float64"
190,"('COR', 'WBD')","0       2.425607
1       2.403247
2       3.341344
3       3.302096
4       3.203933
          ...   
2511    4.638540
2512    4.386516
2513    3.922807
2514    4.270269
2515    3.345012
Length: 2516, dtype: float64","const    38.129777
COR      -0.127172
dtype: float64"
191,"('COST', 'VMC')","0      -28.328459
1      -27.246148
2      -25.909854
3      -25.612996
4      -24.371382
          ...    
2511   -14.637317
2512   -23.427961
2513   -26.101165
2514   -28.539828
2515   -28.801379
Length: 2516, dtype: float64","const    69.752971
COST      0.223532
dtype: float64"
192,"('CPRT', 'LIN')","0       14.490591
1       14.307547
2       14.048595
3       13.601985
4       14.341677
          ...    
2511   -21.905775
2512   -12.606253
2513   -12.727751
2514   -19.946436
2515   -16.925954
Length: 2516, dtype: float64","const    55.866927
CPRT      7.114774
dtype: float64"
193,"('CPRT', 'MPWR')","0        17.631242
1        16.847706
2        18.143241
3        18.550905
4        18.960665
           ...    
2511    -99.773492
2512   -106.093101
2513    -79.918671
2514    -93.823867
2515   -100.984189
Length: 2516, dtype: float64","const   -36.505259
CPRT     13.354889
dtype: float64"
194,"('CPRT', 'MSFT')","0       -3.008814
1       -3.061359
2       -3.018804
3       -3.188490
4       -2.684631
          ...    
2511   -33.956237
2512   -36.787887
2513   -36.107522
2514   -41.806066
2515   -41.384390
Length: 2516, dtype: float64","const    3.187474
CPRT     7.695991
dtype: float64"
195,"('CPRT', 'PARA')","0      -1.643810
1      -1.626564
2      -1.415118
3      -1.620950
4      -0.778587
          ...   
2511    2.058622
2512    1.783667
2513    2.047171
2514    2.599287
2515    2.644238
Length: 2516, dtype: float64","const    51.400956
CPRT     -0.735018
dtype: float64"
196,"('CPRT', 'VRSK')","0      -13.323493
1      -13.318712
2      -13.295103
3      -12.919786
4      -12.029982
          ...    
2511     4.659725
2512     8.817698
2513     6.690661
2514     5.802132
2515     6.854165
Length: 2516, dtype: float64","const    58.569019
CPRT      3.870382
dtype: float64"
